,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
907,-.-,https://yt3.ggpht.com/ZswaUoFNLYju5j3v2fmbFtcfv9EzYt-SCt3s5JwtKlbPmQiHhonWiMVXm0Txge2wqvsYatYRpbo=s48-c-k-c0x00ffffff-no-rj,미현게이야 ..,미현게이야 ..,0,20211208,-1
694,카린 남사친,https://yt3.ggpht.com/xGxJOGClhxz0-rlECOV02segD-Pv_Q9NiVclBvjRMlf6jfu4--inc3yHzaRsXyLYhlKA8WWyEA=s48-c-k-c0x00ffffff-no-rj,"제목까지 완벽하다ㅋㅋㅋ<br>방법, 벌어지는일, ~의 최후, 충격적인 정체<br>꼭 넣어야지ㅋㅋㅋ","제목까지 완벽하다ㅋㅋㅋ
방법, 벌어지는일, ~의 최후, 충격적인 정체
꼭 넣어야지ㅋㅋㅋ",12,20211208,-1
710,멍플,https://yt3.ggpht.com/D5WATqcRNKt6MByvBETeVdOmzBi-3c7f8Ku4hcwxc8sl72f1qVJgcLfl7HOCdSuz2o5uJpCcag=s48-c-k-c0x00ffffff-no-rj,????천잰가 ㄹㅇ,????천잰가 ㄹㅇ,0,20211208,-1
628,요원푸루,https://yt3.ggpht.com/BZjRRvf354vgGLqdsWKWaefBYAKxtkoGpIvkKnw4Eft_JjUzMrGBrN8uDVgB5KaCjxTrnQ8CiIk=s48-c-k-c0x00ffffff-no-rj,불을 키고자니까 잠이 안들지.........,불을 키고자니까 잠이 안들지.........,1,20211208,-1
711,흔한 고딩,https://yt3.ggpht.com/vgLzTM-cWVPgZTir0KGaWGdtWmIUJVKsCMIMbx1v8WtEHwkmBRS56aDRx6z8dhzNcxiDlCRYcw=s48-c-k-c0x00ffffff-no-rj,내 앞에선 일진들이 분노조절 잘하던데,내 앞에선 일진들이 분노조절 잘하던데,2,20211208,-1
256,Merry Gra,https://yt3.ggpht.com/ytc/AKedOLQyTGKLn-g-vAQRloxaWDFKrjrdVt9nOIpW-FfbTw=s48-c-k-c0x00ffffff-no-rj,와 실화는 아닌데 일진 연기 개잘하네,와 실화는 아닌데 일진 연기 개잘하네,4,20211208,-1
255,김학생,https://yt3.ggpht.com/ytc/AKedOLShXGLxV--nVPMy7sNI6lvpJ2pzKrJNCQ0-2g=s48-c-k-c0x00ffffff-no-rj,저것들은 죽어서라도 지옥 가야됨..,저것들은 죽어서라도 지옥 가야됨..,0,20211208,-1
905,바퀴퀴님,https://yt3.ggpht.com/xUg8KLmJlauWKu1wp7KQFZ0reCbQIeg05izKDoYumrTUJmMKSbcTbGoWbkM8UyRXVW_-VSZCIg=s48-c-k-c0x00ffffff-no-rj,ㅠㅠ,ㅠㅠ,0,20211208,-1
717,너검마,https://yt3.ggpht.com/qjHI3iiyIGz6ejX8PG3HT_GUonmUh1YiX3uwS1xJyjpBMbX5750xyOnZaCc4WoLZm_76ZsOE3Q=s48-c-k-c0x00ffffff-no-rj,형 진짜 작가하자 그냥,형 진짜 작가하자 그냥,2,20211208,-1
902,진수,https://yt3.ggpht.com/ytc/AKedOLRVNKg1FfAeSaTybT7YmjKTHFhSU5Nj7grtqR0U4TeMOUeZkVVSjQAOmEhhdsCN62iMHzk=s48-c-k-c0x00ffffff-no-rj,머찌다,머찌다,0,20211208,-1
249,호아예이예우,https://yt3.ggpht.com/ytc/AKedOLSmBJH_5X7hCjdTnCOBkIUB6-RW_6VyXNizVA=s48-c-k-c0x00ffffff-no-rj,형도 아헤가오였구나..,형도 아헤가오였구나..,0,20211208,-1
627,소소,https://yt3.ggpht.com/ytc/AKedOLSbd27Q6ki2E-ZYo5o8tsyNUweiISSs5I6bprA=s48-c-k-c0x00ffffff-no-rj,이 영화 원본은 어딨나요? 요약본 말고.,이 영화 원본은 어딨나요? 요약본 말고.,0,20211208,-1
888,하하호호,https://yt3.ggpht.com/ytc/AKedOLSbbGP_A6ExAyHS-3Dd0nx-bwT-DjNz4kyfs4Gwiw=s48-c-k-c0x00ffffff-no-rj,머임 ㅋㅋ,머임 ㅋㅋ,0,20211208,-1
573,이인석106,https://yt3.ggpht.com/ytc/AKedOLQPIOI14PkwutuxY23E5sn7M-QZe2Dla3f0QnE3aQ=s48-c-k-c0x00ffffff-no-rj,프레디크루커가 꿈속에서 마음대로 했었죠,프레디크루커가 꿈속에서 마음대로 했었죠,1,20211208,-1
