,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
2,제닌JN,https://yt3.ggpht.com/1S7jRnrgJkSA4ETtU8p2L8AWVUbULbBRAN-abCId3VbflU83RvSbh6yOl2T7UnYaiwvYkHCGjA=s48-c-k-c0x00ffffff-no-rj,원래 소리는 레지기가랄가락랅,원래 소리는 레지기가랄가락랅,0,20211121,-1
3,dksoojnll,https://yt3.ggpht.com/MjqqKbRJWl1RpsmP902eSQj4a4iyvNL508rhD2imO9gQCdvMR2OKjDI2NtQMQL2rgMh0gjGvmQ=s48-c-k-c0x00ffffff-no-rj,방구캐리,방구캐리,0,20211118,-1
7,마에스트로,https://yt3.ggpht.com/ytc/AKedOLT8FfysT1N6J7tVisyKR5JhZ1dRWPwrHeitH072qw=s48-c-k-c0x00ffffff-no-rj,레지스틸은 말이 빨라서 영상이 짧은거 같은데 레지기가스는 말이 느려서 영상 길이도 느린거 같음,레지스틸은 말이 빨라서 영상이 짧은거 같은데 레지기가스는 말이 느려서 영상 길이도 느린거 같음,0,20211117,-1
9,심준혁,https://yt3.ggpht.com/ytc/AKedOLSRBNo1X26LW1NiNh67R6QSE8r95OB5norhtdigocOIlg=s48-c-k-c0x00ffffff-no-rj,나 고정해줘,나 고정해줘,0,20211115,-1
11,이민정,https://yt3.ggpht.com/ytc/AKedOLQUtR1Pr91XXF3SohX7Je9PsZMd8ZlrZfCnSw=s48-c-k-c0x00ffffff-no-rj,나도 고정해줘,나도 고정해줘,0,20211114,-1
21,거북이 스튜디오,https://yt3.ggpht.com/cvAI9ddOYUZrs0uMnlZIpBdcqmH9OieUf0PAKs-Zge_EJcS0ofpyim6T5lgO5EhDhf2vih38=s48-c-k-c0x00ffffff-no-rj,"여기 님 나옴<a href=""https://www.youtube.com/watch?v=OXabN4uspPk"">https://www.youtube.com/watch?v=OXabN4uspPk</a>",여기 님 나옴https://www.youtube.com/watch?v=OXabN4uspPk,0,20211108,-1
55,3프로,https://yt3.ggpht.com/ytc/AKedOLQZQRx6j5FyTw5EDj3Qa1tuCAgeZIOLGt15DEW6nw=s48-c-k-c0x00ffffff-no-rj,4초짜리 영상에 5초짜리 광고가 붙네,4초짜리 영상에 5초짜리 광고가 붙네,0,20211124,-1
24,화난멍뭉이youtube,https://yt3.ggpht.com/7F_LfOKN_uUv2VgZE64d_Ajt5XT8NCMAIOl7DDnJRi_nW9MFxlY4RwivH8eJDwL21TnBB2H4=s48-c-k-c0x00ffffff-no-rj,똑같에,똑같에,0,20211105,-1
25,D kim,https://yt3.ggpht.com/ytc/AKedOLSgqi9ERiLrmFCj4zEu-FRiq5UDX92FNWc3cKIa=s48-c-k-c0x00ffffff-no-rj,마지막은 결국 여친 앞에서 싸버렸ㅇ,마지막은 결국 여친 앞에서 싸버렸ㅇ,0,20211104,-1
26,김얼,https://yt3.ggpht.com/ytc/AKedOLQ5SNyVs5knd5uEIHa3zNz_rfTqYpvk7NSkiQ=s48-c-k-c0x00ffffff-no-rj,졘 안저러는데...레레지지 가각가각가가가갉 기가기가 후흥 가가가가가각가 이거 아닌가?모르겠고 마지막에 싼거같아ㅋㅋㅋ,졘 안저러는데...레레지지 가각가각가가가갉 기가기가 후흥 가가가가가각가 이거 아닌가?모르겠고 마지막에 싼거같아ㅋㅋㅋ,0,20211103,-1
28,김오리,https://yt3.ggpht.com/6JPGRCzbF7O2Npy-dWX3wgachjDwmJwEdeVooZHc0KjvzN_hyj0haOA818ljfuNZzyOEdMgxeFo=s48-c-k-c0x00ffffff-no-rj,4초짜리 영상을 보기위해 6초짜리 광고를 보니 기분이 ㅈ같았습니다,4초짜리 영상을 보기위해 6초짜리 광고를 보니 기분이 ㅈ같았습니다,0,20211208,-1
23,허지웅,https://yt3.ggpht.com/DkotcBlE7Td-yXVdqnejrVfTutk-VHaCfC3HEP9Uu5KinueBf7yJ2_1gIRVXIT6LiqOyN9K0Pw=s48-c-k-c0x00ffffff-no-rj,왜  처음에  홍익인간 들리냐?,왜  처음에  홍익인간 들리냐?,0,20211107,-1
144,매점 MaeDot 🏪,https://yt3.ggpht.com/OevU686GaEgvsfXk4F9kdSAOR76CoPdS0BehoKFHuyOFWH4hlaC5IzxQaUTbu7-GAQg4LtQQzg=s48-c-k-c0x00ffffff-no-rj,결국 한국밈 피하기에 나와버렸다.,결국 한국밈 피하기에 나와버렸다.,0,20211101,-1
39,양현환,https://yt3.ggpht.com/ytc/AKedOLTnBNxmYFlahk_6q4vqwyYJ5i9dB-4FAjU0Li4Y5A=s48-c-k-c0x00ffffff-no-rj,아이 유튜브 놈들 4초짜리 하나 들을려고 6초짜리 광고를 보게 만드네,아이 유튜브 놈들 4초짜리 하나 들을려고 6초짜리 광고를 보게 만드네,0,20211203,-1
142,제육볶는김찬호,https://yt3.ggpht.com/omIiTTWgIWvMgNBlLGt7nb49C_-Ll7YoLNKOuDFAsh-xRyIYMCRQ28KzLAX6hPwrfUkSICAy=s48-c-k-c0x00ffffff-no-rj,1990: 미래에는 자동차가 날아다니겠지..?<br>2021: 거 자동차가 못날 수도 있꽁기깅강낑공강공꽁기끼깡공강뿌와왕,"1990: 미래에는 자동차가 날아다니겠지..?
2021: 거 자동차가 못날 수도 있꽁기깅강낑공강공꽁기끼깡공강뿌와왕",1,20211102,0
140,꿈의 뿐뿐,https://yt3.ggpht.com/_4Zl5J9_KkA7ihJrLHuuTg4M9ABA-1QgUCNp2xQVqqFAy3EPZDtMz00KBiH6eaB4z7S8ZXSUqg=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁깅깅꽁기,꽁기깅깅깅공강강꽁깅깅꽁기,0,20211102,0
139,이문호,https://yt3.ggpht.com/DZ6UUkSc7UIrYRBaNvZcqfx-Hwi-S_Cv8vcwQCT_j-F2MI5GsnnxK5WEAEpnbuRlSb55SySJiic=s48-c-k-c0x00ffffff-no-rj,고기깅깅깅깡꽁강고기기기깅강뽱,고기깅깅깅깡꽁강고기기기깅강뽱,0,20211102,0
136,용항 YouTube,https://yt3.ggpht.com/oahXmmQdzP_BaqBlhGOJcnXwokdWnJjma25ZlRXwg279e62MObeBUqwgtjrANhcGU-429LXbYg=s48-c-k-c0x00ffffff-no-rj,꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡,꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡꽁끼깅낑낑꽁깡깡꽁끼깅끼낑깡,0,20211104,0
134,한요화,https://yt3.ggpht.com/KAh2scHQiNh298qb5VoAwx_X51wznXgDTFbrG5Xh7FbEdhI_SDVmC2frQRecZqEq73rbbCzR=s48-c-k-c0x00ffffff-no-rj,꽁기깅낑낑꽁깡깡꽁기깅낑끼잉깡,꽁기깅낑낑꽁깡깡꽁기깅낑끼잉깡,0,20211104,0
132,해골,https://yt3.ggpht.com/ytc/AKedOLTxkUwv24-n7Zynax5LSRwQLfwGn-wY0ONPhF14Gg=s48-c-k-c0x00ffffff-no-rj,꽁기깅강깅공강강꽁기기깅낑깡,꽁기깅강깅공강강꽁기기깅낑깡,0,20211106,0
